排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
13,114041162831159,历时两个月精心制作！！真特种兵旅行！抠门男花5000多元包机票环游日本十几天，把性价比开发到极致！！只要有心，普通人也能环游世界！,7019886,硬汉形象26,592095891,1645821,4.27,564.26,12440.8,0.0539,3463,0.0524,1.0,0.1749,0.0,0.4771,,1,2025-02-21 17:37:26,0.3484
14,116849350214569,咬牙买了张公务舱机票,1033447,江禹的江,4541414,72775,14.2,1927.47,536.2,0.0096,423,0.1791,1.0,0.0312,0.25,0.0072,,1,2026-07-02 18:15:00,0.3482
15,1256286985,《三个人的机票有点拥挤》,4201465,嘞是唐孃孃,70429299,2093417,2.01,240.04,17502.9,0.0992,1698,0.0223,1.0,0.322,0.0,0.2558,,1,2024-07-25 19:30:24,0.3467
16,403655726,蛋仔派对：当满级粉丝给我买机票，让我挑战穿蛋仔服去水上乐园！,8576367,一克麻辣毛蛋儿,1912249087,1684261,5.09,325.34,26361.1,0.0319,692,0.0302,1.0,0.1035,0.0,0.5992,,1,2023-07-22 17:17:30,0.3397
17,650470872,马上就可以到处玩了，但是你知道机票怎么买才最划算吗？,1911496,小聪明张建国,1581616848,357717,5.34,62.25,30704.4,0.1111,90,0.0058,1.0,0.3606,0.0,0.0761,,1,2023-01-22 18:00:00,0.3315
18,1005513287,总价值60000块的机票！飞机上待14个小时！他们居然...,2499326,雨哥到处跑,147166910,3910701,0.64,134.31,18608.3,0.1649,984,0.0125,0.8273,0.5352,0.0,0.1222,,1,2024-06-09 18:05:00,0.3298
19,620197858,“狼来了”！我买了15张深圳飞西安的机票,2384205,这不过分啊,40471088,509700,4.68,99.11,24055.7,0.0995,3091,0.0092,1.0,0.3229,0.0,0.1132,,1,2023-10-26 18:43:07,0.3287
20,934715873,穷小子连机票都买不起，却成为了航空界的传奇,9352425,小青聊电影,1869986630,7168,1304.75,230.95,40494.6,0.0056,258,0.0215,1.0,0.0182,0.0,0.6601,,1,2021-12-10 19:45:05,0.3261
21,478738694,一张随机城市的机票，不带钱的生存游戏。这活动搞了6年，最近忙着谈恋爱暂停了，再办的话，会通知大家滴~ #旅行 #旅行推荐官,1636978,大个在末日前狂欢,1614846931,64157,25.52,53.78,30436.7,0.1029,1572,0.005,1.0,0.334,0.0,0.0545,,1,2023-02-02 21:42:08,0.3238
22,1055871270,中国最强文化输出：144小时免签！外媒抹黑中国数十年，如今却被一张机票撕开,2772886,冯无畏,3546656899336980,509107,5.45,152.31,18206.1,0.0839,6740,0.0142,1.0,0.2723,0.0,0.1437,,1,2024-06-26 12:17:56,0.3231
23,230720778,坐飞机流程详细流程-提前多久到机场？怎么买机票更便宜？坐飞机不能带什么物品 ？什么是值机？,981038,花开富888,639903113,34189,28.69,36.75,26698.2,0.1084,1642,0.0034,1.0,0.3518,0.0,0.0031,,1,2023-07-08 16:11:31,0.3217
24,938090613,回国机票八万，真诚建议疫情期间不是富二代不要留学,1345792,我就是星月,602725251,195207,6.89,35.84,37554.6,0.0989,10434,0.0033,1.0,0.321,0.0,0.0317,,1,2022-04-12 07:47:03,0.3184
25,115297709197482,国庆节没机票没事，我车比飞机块,5166849,主机游戏大b哥,275663908,369382,13.99,726.2,7114.9,0.0213,61,0.0675,1.0,0.0691,0.0,0.3316,,1,2025-10-01 15:26:51,0.3172
26,608963769,那些在小黄鱼上靠信息差赚钱的人，你们还好吗？,1328785,这不过分啊,40471088,509700,2.61,43.8,30339.6,0.0945,2964,0.0041,1.0,0.3067,0.0,0.0304,,1,2023-02-06 22:49:55,0.3156
