排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,点赞数,投币数,收藏数,分享数,弹幕数,评论数,深度互动比(币+藏/赞),互动密度,收藏率,粉丝转化率,分享率,深度互动得分,互动密度得分,收藏率得分,转化率得分,分享率得分,视频年龄(小时),发布时间,价值综合评分
52,116566670708514,No cap =))),9679011,哈利尼斯塔,3546860255971524,9679000,592413,12084,65185,31766,9090,9672,0.1304,0.0711,0.0067,1.0,0.0033,0.01,0.3368,0.1497,0.0007,0.1772,1722.68,2026-05-13 17:58:33,0.1354
53,875000124,剪个头发还被调戏了～,5694430,山城小栗旬的理发日记,1869712375,0,393317,8502,35328,12760,6010,3159,0.1114,0.0784,0.0062,0,0.0022,0.0085,0.3711,0.1379,0.0,0.121,24113.69,2023-10-23 18:57:55,0.1354
54,114409473119537,一穿裙子一时爽 一直穿裙子一直…,5198061,402ephto_,3493136881945085,0,287614,3611,49743,3227,553,2660,0.1855,0.0662,0.0096,0,0.0006,0.0142,0.3135,0.2127,0.0,0.0335,10866.05,2025-04-27 18:36:37,0.1292
55,703138277,真有up主敢穿荷叶去阿玛尼？？,5398954,小桑菜奈,31438993,853000,70144,6142,74246,691,1105,560,1.146,0.0282,0.0138,6.33,0.0001,0.0877,0.1335,0.3057,0.0044,0.0069,25216.83,2023-09-07 19:49:37,0.1263
56,462617062,旗 袍 皮 肤 典 藏 版,5636259,一栗莎子,2871017,0,214890,25253,50288,14096,1161,3548,0.3515,0.0524,0.0089,0,0.0025,0.0269,0.2479,0.1983,0.0,0.1351,43073.34,2021-08-24 19:19:09,0.1246
57,751852569,版型差就是版型差，天王老子来了都怪不到我身材上面去,4673237,葡萄大人耶,374431069,0,326518,5650,24295,4445,2721,5415,0.0917,0.078,0.0052,0,0.001,0.007,0.3694,0.1156,0.0,0.0514,21853.45,2024-01-25 23:12:08,0.1231
58,689766979,校内丑关我校外什么事啊,5037008,逍飞free,99740565,0,340789,3057,22895,12066,1426,2009,0.0762,0.0735,0.0045,0,0.0024,0.0058,0.348,0.101,0.0,0.1294,32585.67,2022-11-04 18:59:22,0.1222
59,504147754,人生就像钟表，可以回到起点，却已不是昨天,5223751,南京龙浩钟表维修中心,481683821,0,271203,38515,28969,9800,4566,4437,0.2488,0.0666,0.0055,0,0.0019,0.019,0.3152,0.1233,0.0,0.1013,43991.98,2021-07-17 12:40:26,0.1202
60,810524939,18岁的大叔，谁不爱呢,5603006,逍飞free,99740565,0,272371,5786,32859,20982,4408,3899,0.1419,0.057,0.0059,0,0.0037,0.0109,0.2698,0.1304,0.0,0.2022,37585.42,2022-04-10 11:14:04,0.1176
61,303712219,一个珍珠原料商在b站的54天,5299200,珠农老钱,492018444,0,236673,4443,47264,3605,1283,1873,0.2185,0.055,0.0089,0,0.0007,0.0167,0.2605,0.1983,0.0,0.0367,33349.65,2022-10-03 23:00:20,0.1143
62,719266891,快活王和路易十四谁的衣服比较多？【小约翰】,5523593,小约翰可汗,23947287,0,212571,66138,25470,8509,23374,9770,0.431,0.0611,0.0046,0,0.0015,0.033,0.2892,0.1025,0.0,0.0832,40993.65,2021-11-19 11:00:15,0.1127
63,786818162,听说你们想看我穿红蓝洞洞裙？,5715040,氧化菊,343099760,0,423548,2979,18732,1398,500,949,0.0513,0.0782,0.0033,0,0.0002,0.0039,0.3701,0.0729,0.0,0.0132,26011.01,2023-08-05 17:38:28,0.1098
64,116770346109104,穿搭测评交友,5339982,张宇斐,480963436,0,86715,2708,61022,1600,2433,1034,0.7349,0.0288,0.0114,0,0.0003,0.0562,0.1365,0.254,0.0,0.0162,859.07,2026-06-18 17:35:27,0.1062
65,116486660161710,永远都不知道对手是什么“糕手”,11756506,小藤777,3546591034083329,0,725594,9021,54905,4299,688,6430,0.0881,0.0678,0.0047,0,0.0004,0.0067,0.3208,0.1038,0.0,0.0197,2061.76,2026-04-29 14:53:52,0.1053
