排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,标签,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
36,114120586171570,商家应该允许退货退款的人发买家秀....,6645833,小桑菜奈,31438993,853000,7.79,549.68,12090.5,0.0474,1017,"穿搭,服饰,女装,测评,种草,开箱,购物分享,买家秀,商家,春日时髦序曲,盛装生活节",0.0451,1.0,0.2244,0.0,0.1243,,1,2025-03-07 18:11:14,0.3209
37,504147754,人生就像钟表，可以回到起点，却已不是昨天,5223751,南京龙浩钟表维修中心,481683821,139639,37.41,118.74,43992.0,0.0666,4437,"服饰,B站,技术宅,手表,手工,自制,DIY,机械,手工达人秀,奢侈品",0.0097,1.0,0.3153,0.0,0.0472,,1,2021-07-17 12:40:26,0.3207
38,114046984524429,随机生成穿搭挑战｜ 穿成这样去见男朋友的父母可以吗？,5719346,s大野丽莎,21013374,188812,30.29,461.15,12402.4,0.0544,1830,"穿搭,服饰,日常,今日出门怎么穿,24~25时髦healing漫游",0.0379,1.0,0.2576,0.0,0.0741,,1,2025-02-22 18:14:54,0.3203
39,116458256400991,万万没想到…,5018756,是小帅子呀,397889029,61463,81.65,2299.88,2182.2,0.0076,41,"日常,穿搭,服饰",0.1888,1.0,0.036,0.0,0.0361,,1,2026-04-24 14:28:40,0.3174
40,799784788,黑人模特的比例有多逆天？,6998482,萌德-,24979808,155000,45.15,150.17,46604.9,0.0503,0,"走秀,时装周,FASHION,欧美女模,服饰,高级定制,秀场,时尚,模特,打卡挑战",0.0123,1.0,0.2382,0.0,0.1435,,1,2021-03-30 15:47:35,0.3157
41,115485144253586,这些穿搭都救过男生的命吗？,6122508,乱小世,2146925112,451000,13.58,970.79,6306.7,0.0319,7119,"穿搭,服饰,男生穿搭",0.0797,1.0,0.151,0.0,0.0959,,1,2025-11-03 17:55:48,0.3137
42,115400368986036,当你精心穿搭后出门逛街（路人视角）,6308724,是穗穗念呀,3546982486379292,114853,54.93,946.4,6666.1,0.029,4959,"穿搭,服饰,日常,日常穿搭,路人视角,秋日穿搭,毛衣穿搭",0.0777,1.0,0.1373,0.0,0.106,,1,2025-10-19 18:36:20,0.3114
43,303712219,一个珍珠原料商在b站的54天,5299200,珠农老钱,492018444,175398,30.21,158.9,33349.7,0.055,1873,"珠宝,时尚,服饰,时尚好物种草,珍珠,首饰,换季时尚法则",0.013,1.0,0.2604,0.0,0.0513,,1,2022-10-03 23:00:20,0.3111
44,116000003459986,能让裙子一秒遇光变色？是什么神奇的染料？,5858257,胡米米的随手一做,666685038,628952,9.31,1428.96,4099.7,0.0174,119,"裙子,穿搭,浪漫,服饰,少女,遇光变色裙子,花朵,粉色,轻盈,玩家自有色彩",0.1173,1.0,0.0824,0.0,0.0816,,1,2026-02-03 17:00:00,0.3098
45,344550414,是泳装cos！,5574172,清和Alicia,836885,1935479,2.88,161.33,34551.7,0.2009,4538,"服饰,cosplay,cos,青行灯,妖刀姬,决战平安京",0.0132,0.4324,0.9512,0.0,0.0662,,1,2022-08-14 20:55:18,0.3089
46,50267424,【斋藤飞鸟】身高158，照样走T台的霓虹美少女,6179289,大吉岭茶茶,335444696,11842,521.81,97.21,63567.3,0.0483,3065,"斋藤飞鸟,乃木坂46,混剪,美少女,FASHION,TGC,T台,秀场,服饰",0.008,1.0,0.2287,0.0,0.099,,1,2019-04-23 21:21:22,0.308
47,215376925,不实穿？拜托！这可是高缇耶的礼服，他家的设计不需要实穿,4737408,萌德-,24979808,155000,30.56,132.84,35663.2,0.0552,1051,"时尚,女神,秀场,服饰,走秀,欧美女模,FASHION,时装周,模特,T台",0.0109,1.0,0.2614,0.0,0.0208,,1,2022-06-29 13:25:32,0.3076
48,115846139613655,传奇改造王珍妮佛梓，比良子逆天，比阿诺耐药,4779174,侦探许烦烦,32026774,337731,14.15,1000.53,4776.6,0.031,2621,"服饰,穿搭,美妆,珍妮佛梓,奢侈品,传奇",0.0821,1.0,0.1468,0.0,0.0231,,1,2026-01-06 12:00:31,0.3063
49,113242315690979,当你在国外展会吃了一块三文鱼,5496953,一个木枝,472493391,126613,43.42,347.62,15813.1,0.0428,2700,"国外,日常,展会,加拿大,服饰,三文鱼,Vlog",0.0285,1.0,0.2027,0.0,0.062,,1,2024-10-03 15:34:12,0.3053
50,318297884,娶川渝女人，享幸福人生。,6400511,陈景烁Studio,107817408,150000,42.67,254.47,25152.3,0.0371,3693,"穿搭,女人,日常,二次元,服饰,cosplay,川渝,cosplay收藏夹,夹哥,幸福人生",0.0209,1.0,0.1757,0.0,0.111,,1,2023-09-10 12:20:53,0.3025
51,400461819,黛玉骑鬼火，玉环醉卡座,5238541,我是扒皮呀,388771073,323530,16.19,184.38,28411.7,0.0442,1233,"古风,服饰,仿妆,美妆,中国风,杨玉环,140斤",0.0151,1.0,0.2093,0.0,0.048,,1,2023-04-27 16:55:00,0.3012
52,113741068768998,2024—网络热点妆容图鉴,7755340,朵朵花林,297344797,1950000,3.98,566.12,13699.0,0.1254,4219,"美妆,服饰,2024热门年度盘点,变妆,年终总结,热点,2024超好看",0.0465,0.5971,0.5938,0.0,0.1845,,1,2024-12-30 17:36:24,0.3004
53,586587684,Zara今年的衣服绝了，这种请问谁能穿！,11238112,周嘎嘎儿,303713614,18126,620.0,234.85,47851.8,0.0076,2217,"时尚,搞笑视频,服饰,ZARA",0.0193,1.0,0.036,0.0,0.3734,,1,2021-02-06 16:48:20,0.3003
54,836805471,确实未曾想到！,4551880,搞笑滴小光,3546610900404894,350,13005.37,208.92,21787.7,0.0449,751,"服饰,日常,穿搭",0.0172,1.0,0.2126,0.0,0.0108,,1,2024-01-28 16:56:10,0.2987
55,999195650,我偷偷摸摸去逛了漫展🫣,6118822,卡琳娜和揉西,212630840,1966000,3.11,234.12,26135.2,0.1748,4197,"仿妆cos大神召集令,服饰,小姐姐,二次元,美妆,日常,Cosplay,仿妆cos大神暑期征集令",0.0192,0.4673,0.8277,0.0,0.0957,,1,2023-07-31 13:29:04,0.2977
56,116566670708514,No cap =))),9679011,哈利尼斯塔,3546860255971524,9679000,1.0,5618.58,1722.7,0.0711,9672,"美女,穿搭,服饰,时髦坐标有信号",0.4612,0.1501,0.3366,0.1667,0.2888,,1,2026-05-13 17:58:33,0.2971
57,113684110119122,挑战用睡衣把残疾女孩爆改成天使！美到落泪,7978964,小桑菜奈,31438993,853000,9.35,572.47,13937.7,0.0138,141,"穿搭,DIY,服饰,裙子,手工,我的快乐日常,生日,服装设计,残障,公主裙,2024“笑”园派对",0.047,1.0,0.0653,0.0,0.1966,,1,2024-12-20 18:55:00,0.2968
58,1551351025,1920-2020 百年变迁，中国女性职业服装的变化,5247320,朵朵花林,297344797,1950000,2.69,251.08,20898.7,0.195,4189,"女性,中国,服饰,高洁丝粉你,变迁,职业,百年,女生不简单",0.0206,0.404,0.9233,0.0,0.0485,,1,2024-03-05 18:00:00,0.2967
59,1555962819,法国人 也难逃人渣爆改,4504508,思远glenindiv,25120438,1062832,4.24,247.4,18207.1,0.1373,2307,"男装,服饰,复古,西装,穿搭,谷已西装,glenindiv,大佬,定制西装",0.0203,0.6363,0.6501,0.0,0.0082,,1,2024-06-25 21:32:22,0.296
60,558642090,明显右边更难做到,7441865,昔特乐ヽ,153987677,21590,344.69,222.94,33380.2,0.0245,2322,"服饰,发型,女神,穿搭,美女,美妆,生活记录,日常,街拍,朋友",0.0183,1.0,0.116,0.0,0.1675,,1,2022-10-02 16:29:46,0.2954
61,115428621882667,当你以为自己是韩剧穿搭出门（路人视角）,4764630,是穗穗念呀,3546982486379292,114853,41.48,727.83,6546.4,0.026,4702,"服饰,穿搭,日常穿搭,氛围感穿搭,路人视角,ootd,冬日穿搭,大衣穿搭,韩剧女主穿搭",0.0597,1.0,0.1231,0.0,0.0223,,1,2025-10-24 18:18:25,0.2948
62,711873334,现在准备卷死他们！情人节送鞋指南，直男看了都会喜欢的鞋子！,8250151,鞋Club,9978781,167797,49.17,158.52,52045.2,0.0199,110,"穿搭,时尚,服饰,鞋子,情人节,购物分享",0.013,1.0,0.0942,0.0,0.2113,,1,2020-08-15 23:30:05,0.2939
63,236886298,在中缅边境，我亲身经历了一场魔幻旅途,4680313,平圆方中Lebannen,319762851,1167809,4.01,203.54,22994.7,0.1402,3566,"西装,服饰,校园,爱心,历史,情感,日常,学生,中缅边境,2023热门年度盘点,2023时尚年度大赏",0.0167,0.6017,0.6638,0.0,0.0177,,1,2023-12-09 10:00:00,0.29
64,215696148,模 特 受 难 鞋,4412153,萌德-,24979808,155000,28.47,124.48,35445.7,0.036,2531,"走秀,秀场,欧美女模,女神,高跟鞋,FASHION,服饰,模特,时装周,T台",0.0102,1.0,0.1705,0.0,0.0032,,1,2022-07-08 14:55:06,0.2875
65,609493369,网络乞丐：开局向路人索要服饰,4430340,逸白不黑,662573145,644496,6.87,147.23,30090.3,0.0348,154,"和平精英激励计划,和平精英",0.0121,1.0,0.1648,0.0,0.0042,,1,2023-02-16 18:18:04,0.287
66,115293246522707,网恋需谨慎 #反差 #迪米迦 #生活伙伴服饰,4513727,抖鹰元歌,488583835,4889,923.24,633.94,7120.1,0.0176,1671,"可爱,变装,颜值,帅哥",0.052,1.0,0.0833,0.0,0.0087,,1,2025-09-30 20:30:27,0.2831
67,1406482147,赶快倒闭！现在的女装店铺都是什么畸形审美？真是不要太恶心！,5233893,靓仔董米粒,558215888,606937,8.62,297.22,17609.4,0.0215,1802,"美女,服饰,裙子,穿搭,女装,夏日学穿搭,踩雷,店铺,微胖,网红同款,夏日时髦地图",0.0244,1.0,0.1018,0.0,0.0477,,1,2024-07-20 19:16:39,0.2825
68,114447808991422,古代身高两米多的将军，八十斤的盔甲如何穿,4353604,武阵天王-杰哥,443344782,718245,6.06,406.74,10703.5,0.0474,5236,"穿搭,服饰,汉服,中国风,人文历史档案馆,2025世界读书日,盔甲,将军",0.0334,0.91,0.2244,0.0,0.0,,1,2025-05-04 13:06:58,0.2824
69,113379301656070,不是…这雕刻家ooc了吧,6155993,云知笑,251014432,569000,10.82,404.14,15232.5,0.0107,679,"美妆,服饰,第五人格,艺术,夜魔,万圣节妆容,雕刻家,万圣节限定皮肤,突破次元壁大作战2.0",0.0332,1.0,0.0507,0.0,0.0978,,1,2024-10-27 20:08:39,0.2799
70,788457794,娶川渝女人，享先礼后兵。,4377081,陈景烁Studio,107817408,150000,29.18,174.37,25102.7,0.0262,2553,"女人,日常,二次元,穿搭,服饰,川渝,cos,cosplay收藏夹,夹哥,幸福人生",0.0143,1.0,0.1241,0.0,0.0013,,1,2023-09-12 13:57:02,0.2792
71,816627834,清纯旗袍还是酷飒风衣，谁的颜值可以对冲她的“小缺点”？,7253015,神奇片场,1695036013,4364,1662.01,220.1,32953.7,0.007,65,"颜值,直男,穿搭,美女,服饰,综艺,酷飒,星计划金秋打卡计划,旗袍,气质",0.0181,1.0,0.0331,0.0,0.1573,,1,2022-10-20 11:00:00,0.2778
72,703138277,真有up主敢穿荷叶去阿玛尼？？,5398954,小桑菜奈,31438993,853000,6.33,214.1,25216.8,0.0282,560,"日常,穿搭,种草,服饰,护肤,阿玛尼,DIY,博主,荷叶,秋季新番创作大作战",0.0176,0.9503,0.1335,0.0,0.0567,,1,2023-09-07 19:49:37,0.2752
73,115088849634677,当我家离学校只有2米,5010480,张真严吖,571814627,7217,694.26,627.38,7986.3,0.0032,13,"穿搭,服饰,日常",0.0515,1.0,0.0152,0.0,0.0356,,1,2025-08-25 18:21:38,0.272
74,605251331,盘点全网六大潮流男神，你认为哪个帅？,5610787,账号已注销,287512393,2991,1875.89,174.2,32209.6,0.0112,60,"穿搭,服饰,帅哥,明星,潮流,男神,盘点,全网,必剪创作,我在B站做UP主",0.0143,1.0,0.053,0.0,0.0682,,1,2022-11-20 11:01:04,0.2717
75,517675878,这个洞洞，是干嘛的,5278844,ADANNU520,416566983,1822,2897.28,163.42,32302.7,0.0086,3047,"内裤,日常,穿搭,服饰,打工人的一周穿搭,普通人的时尚指南",0.0134,1.0,0.0407,0.0,0.0502,,1,2022-11-16 13:58:10,0.2672
76,499680325,跟着迪丽热巴学穿搭,4728947,鞋Club,9978781,167797,28.18,92.35,51205.4,0.0128,39,"明星,穿搭,女神,服饰,时尚,迪丽热巴,鞋子",0.0076,1.0,0.0606,0.0,0.0204,,1,2020-09-19 23:17:16,0.2664
77,596958725,30秒拿捏品牌精髓 垫底辣孩的时尚感有多强 |奢侈品,4838712,优奢二手奢侈品,27821777,32148,150.51,132.81,36433.7,0.0076,47,"励志,FASHION,品牌,时尚,服饰,走秀,T台,街拍,在B站，对话潮流,国际超模挑战赛",0.0109,1.0,0.036,0.0,0.0263,,1,2022-05-28 11:00:00,0.2631
78,236994638,身高175？不！其实你有190！！#190大帅哥 #正装男 #理想男友,5034423,钙星球,496187120,232444,21.66,218.57,23033.4,0.0016,42,"穿搭,服饰,帅哥,理想,鞋子,男生穿搭",0.0179,1.0,0.0076,0.0,0.0369,,1,2023-12-07 19:15:38,0.2606
79,1304818047,九家宝藏店铺分享！618直接进来抄作业,4701198,小桑菜奈,31438993,853000,5.51,246.09,19103.6,0.0466,985,"穿搭,种草,服饰,618必买清单,还是淘宝香,店铺,分享,平价,淘宝,店铺分享",0.0202,0.8275,0.2206,0.0,0.0189,,1,2024-05-19 13:01:31,0.2589
80,384548393,高清变装合集丨四种不同风格变妆,4406058,陶阿狗君,17364274,1684928,2.61,121.25,36339.7,0.1638,1322,"时尚,化妆,变装,美妆,日常,造型,发型,服饰,美妆博主,变身,618美妆什么值得买",0.01,0.3926,0.7756,0.0,0.0028,,1,2022-06-01 09:00:00,0.2565
81,460890334,【中国千年之美】大唐女儿行｜妆｜发｜饰｜服｜演变史,4360656,o小庄o,6272357,1552800,2.81,96.81,45042.0,0.1512,3337,"中国风,国风奇妙纪,搭配,时尚,美妆,服饰,汉服,发型,中国华服日,唐朝,千年之美",0.0079,0.4216,0.7159,0.0,0.0004,,1,2021-06-03 18:37:07,0.251
82,462989365,1910-2010 百年变迁，中国校服的青春之美。,7031600,朵朵花林,297344797,1950000,3.61,165.27,42545.7,0.0986,10820,"文化,中国,服饰,历史,自制,校服,人文,百年之美,学生",0.0136,0.5414,0.4669,0.0,0.1453,,1,2021-09-15 19:00:12,0.2473
83,656228849,漫画胸能不能走出现实啊？？？？,10711015,鹦鹉梨,1968595,3056000,3.5,383.16,27954.4,0.0661,8574,"穿搭,日常,女装,测评,种草,服饰,内衣,夏季穿搭,伊维斯,今日出门怎么穿,一起fun放假",0.0315,0.5262,0.313,0.0,0.3448,,1,2023-05-16 18:17:44,0.2381
84,116164034303766,如果我在不同年代做时装模特？你最喜欢哪一组？,7003385,李如儒也是李蠕蠕,474853499,3331000,2.1,2044.24,3425.9,0.0875,2888,"穿搭,服饰,时装,模特",0.1678,0.3157,0.4143,0.0,0.1437,,1,2026-03-03 18:45:00,0.2265
85,841277313,不要叫我蹦裙子啦！,6457067,yoyo鹿鸣_Lumi,488836173,1693000,3.81,122.4,52752.6,0.0694,10363,"yoyo鹿鸣,自制,3D,动作捕捉,VTUBER,渲染,原创,4K,翻跳,服饰",0.01,0.5726,0.3286,0.0,0.1141,,1,2020-07-17 12:02:19,0.2233
86,582888868,这是最后一次了，且珍惜！,6298541,东尼ookii,285499073,5280451,1.19,115.27,54643.2,0.1728,10198,"尼妹,东尼ookii,女装,VLOG的一百种可能,VLOG,日常,生活,礼物开箱,服饰,搞笑",0.0095,0.1791,0.8182,0.0,0.1055,,1,2020-04-29 17:24:25,0.2218
87,810524939,18岁的大叔，谁不爱呢,5603006,逍飞free,99740565,1355457,4.13,149.07,37585.4,0.057,3899,"大叔,服饰,时尚穿搭",0.0122,0.6206,0.2699,0.0,0.0678,,1,2022-04-10 11:14:04,0.2196
88,619358349,救命！！！Cos符玄大人去漫展 居然遇到这种事？？？,5215237,小小的小兔团儿,27897180,1092511,4.77,212.62,24528.8,0.0302,688,"穿搭,二次元,服饰,漫展,COS,星穹铁道,COSPLAY,符玄,崩坏：星穹铁道创作者激励计划,小个子",0.0175,0.7167,0.143,0.0,0.0467,,1,2023-10-06 11:50:14,0.2177
89,689766979,校内丑关我校外什么事啊,5037008,逍飞free,99740565,1355457,3.72,154.58,32585.7,0.0735,2009,"服饰,穿搭,成熟,普通人的时尚指南",0.0127,0.5579,0.348,0.0,0.0371,,1,2022-11-04 18:59:22,0.2166
90,786818162,听说你们想看我穿红蓝洞洞裙？,5715040,氧化菊,343099760,1659293,3.44,219.72,26011.0,0.0782,949,"穿搭,设计,服饰,日常,模特,聊聊时尚艺术那些事,开启暑假的100种方式",0.018,0.5171,0.3703,0.0,0.0738,,1,2023-08-05 17:38:28,0.2161
