排名,note_id,标题,互动量,作者,作者UID,互动速率(次/小时),笔记年龄(小时),互动密度,评论数,标签,速率得分,互动得分,新鲜度得分,互动量得分,历史增长%,数据点数量,发布时间,综合评分
11,69b03e310000000015020d5f,蕾蕾的,18145,小亿,5a598dd8e8ac2b51c0b9a613,5.5,3301.2,1.0,221,"甜妹治愈一切,少女感写真,日系少女,喜欢每一个有阳光的日子,阳光下的氛围感,泡在阳光里,阳光是最好的照片滤镜,少女的裙摆,地蕾係,青春的气息,作者",0.1313,1.0,0.0,0.2995,0.0,2,2026-03-10 00:00:00,0.3909
12,698c4b58000000000e03d8e2,左划看普通女大互勉拍照一年的变化～,14063,小斜,5f9416f70000000001004c38,4.26,3301.0,1.0,431,"甜妹治愈一切,少女感写真,日系少女,喜欢每一个有阳光的日子,阳光下的氛围感,泡在阳光里,阳光是最好的照片滤镜,少女的裙摆,地蕾係,青春的气息,作者",0.1017,1.0,0.0,0.2292,,1,2026-03-10 00:00:00,0.37
13,6a32943100000000110192d9,静水成玉,5783,水仙,67c0100e000000000e010f3f,2.78,2077.2,1.0,33,"鸣潮,鸣潮爱弥斯,鸣潮创作激励",0.0663,1.0,0.1667,0.0868,,1,2026-04-30 00:00:00,0.3696
14,6a17ee51000000003501fa34,芥末萌(｡ì _ í｡),3471,seo子,6045f7e20000000001007577,2.47,1405.2,1.0,63,"甜妹,甜妹穿搭,作者",0.0589,1.0,0.1667,0.047,3756.67,3,2026-05-28 00:00:00,0.361
15,6a28cfad000000002200998c,宅家拍点照、就爱这种轻松感～,2083,心静如水,6632f70c0000000003032007,1.95,1069.3,1.0,23,"拿破仑摇,卡点舞",0.0465,1.0,0.1667,0.0231,0.0,2,2026-06-11 00:00:00,0.3531
16,6a22b03c000000003502a715,ᨳ͛⁠⁃ ⩊ ⁃ ഒ,2162,小山茶,5de255b50000000001006693,1.78,1213.2,1.0,95,"瘦,纯欲,随拍,对镜拍,白,双马尾,作者",0.0425,1.0,0.1667,0.0245,0.0,2,2026-06-05 00:00:00,0.3519
17,69f2dbc200000000350286ba,要和小爱一起去海边玩吗,1545,干饭妹筱筱,5bea9896168a600001243367,0.74,2077.2,1.0,3,"鸣潮,鸣潮爱弥斯,鸣潮创作激励",0.0177,1.0,0.1667,0.0139,0.0,2,2026-04-30 00:00:00,0.3416
18,683d88dd000000002301018d,可是 水里好冷,8223,不二丸叽,6059c07d00000000010098b4,2.47,3325.2,1.0,82,"ariseism,作者",0.0589,1.0,0.0,0.1288,,1,2026-03-09 00:00:00,0.3399
19,69553298000000001d03ac4b,𝟐𝟎𝟐𝟓我的年度18图,9119,鲨鱼小莹,5e0c3e760000000001009471,1.84,4957.2,1.0,83,"分享图片,人生再也拍不出来的照片,新年快乐,作者",0.0439,1.0,0.0,0.1442,0.0,2,2025-12-31 00:00:00,0.337
20,6909fd140000000003037876,温柔姐姐,6749,鱼鱼酒,5db536610000000001005715,2.39,2821.3,1.0,73,"纯欲,瘦,随拍,白,双马尾,对镜拍,poetwong,作者",0.057,1.0,0.0,0.1034,0.0,2,2026-03-30 00:00:00,0.3355
21,6a2a83e2000000002101420a,诶…你身上有股…萌萌味՞˶･𖥦･˶՞,4080,晕水,664ce9500000000007007e61,1.63,2509.3,1.0,38,"泰国🇹🇭,普吉岛",0.0389,1.0,0.0,0.0575,,1,2026-04-12 00:00:00,0.3222
22,69d47ec0000000001f0013a0,纯欲天花板,1937,一只小羊,699d1eb2000000002302c305,0.74,2629.2,1.0,7,"纯欲风,纯欲天花板",0.0177,1.0,0.0,0.0206,0.16,2,2026-04-07 00:00:00,0.3093
23,69bd12a8000000001a0216ba,,2139,曹贼,610ca0ab0000000001000827,0.34,6325.3,1.0,7,,0.0081,1.0,0.0,0.0241,0.0,2,2025-11-04 00:00:00,0.3065
24,6a4e4bb9000000001c02580b,꒰🎀⊹ ࣪ ˖ 𝓟𝓲𝓷𝓴 𝓓𝓲𝓪𝓻𝔂 ໒꒱,1546,鱼鱼酒,5db536610000000001005715,0.51,3037.1,1.0,15,,0.0122,1.0,0.0,0.0139,,1,2026-03-21 00:00:00,0.3063
25,69fbe8d70000000036001dab,谁懂啊！一次cos出了两种完全不同的风格！,739,TT,5f3797390000000001007e29,0.33,2221.3,1.0,30,"永远没烦恼,日常,纯欲,可爱贴纸,作者",0.0079,1.0,0.0,0.0,,1,2026-04-24 00:00:00,0.3028
