排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,标签,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
22,95387918,【TNT时代少年团】【TNT宅家日记合集】倾情巨制！下饭神综！,10389472,Dido2ng-L,27269274,16643,624.25,186.14,55816.3,0.0474,939,"时代少年团,TNT,综艺",0.0122,1.0,0.209,0.0,0.0,,1,2020-03-12 19:59:03,0.2955
23,869379209,一部带你重温童年的影片，真实且治愈，时代需要这样的影片。,17788676,电影新秀,1060995522,245079,72.58,645.86,27542.5,0.0071,731,"国产电影,童年,治愈,电影解说,新剧好剧一起看,星动安利大作战·初夏篇",0.0424,1.0,0.0313,0.0,0.2589,,1,2023-06-03 21:47:52,0.2949
24,973536407,超温柔治愈嗓音！宋亚轩翻唱Forever Young,11130169,宋亚轩的留声机,307535996,523778,21.25,248.15,44852.4,0.0293,28018,"宋亚轩,ForeverYoung,开口跪,时代少年团,TNT,音乐",0.0163,1.0,0.1292,0.0,0.0259,,1,2021-06-12 15:49:48,0.2833
25,259132653,【TF家族】2022 TF家族夏日运动会,23174557,TF家族,3670216,9176767,2.53,666.07,34793.0,0.1809,70963,"时代少年团,TF家族",0.0437,0.2378,0.7976,0.0,0.4473,,1,2022-08-05 19:17:20,0.2768
26,889103031,【时代少年团】「五月粉丝见面会实况」-《世界上的另一个我》纯享版,38974327,TF家族,3670216,9176767,4.25,882.24,44176.6,0.0644,198958,"时代少年团,TNT时代少年团,明星",0.0579,0.3999,0.284,0.0,1.0,,1,2021-07-10 19:40:03,0.2741
27,977029652,时代少年团2021火力全开演唱会（上）,35123361,TF家族,3670216,9176767,3.83,869.17,40410.3,0.0861,61255,"TF家族,丁程鑫,演唱会,公子,贺峻霖,张真源,严浩翔,时代少年团,时代少年团演唱会,Lil Wen,小丁弟弟,狼崽,小丁,中国大陆,大帅,+7,普通话,程程,宋亚轩,马嘉祺,tnt,Alex,张方方,刘耀文,简亓,二维马,树立,Jiaqi Ma,时代少年团2021火力全开演唱会,Chengxin Ding,小马哥(昵称),猫捡球(昵称),马总(昵称),Zhenyuan Zhang,霖霖(昵称),Yaowen Liu,小铃铛(昵称),Yaxuan Song,Junlin He,小贺(昵称),宋树立(本名)",0.0571,0.3604,0.3796,0.0,0.8653,,1,2021-12-14 17:56:34,0.2697
28,115943850119469,二班忏悔录！,14287864,一串大福,393709394,3285301,4.35,3257.53,4386.1,0.032,1503,"搞笑,校园,来福来福,一串大福,学生时代,真实,新年小剧场,fyp",0.2138,0.4095,0.1411,0.0,0.1364,,1,2026-01-23 18:10:14,0.2084
29,701882589,粉丝上演史诗大战，爱豆却似无情AI，TFBOYS十周年演唱会笑话大全！,13906645,一只吐槽圆,20457232,2785983,4.99,535.53,25968.2,0.0702,19759,"TFBOYS,易烊千玺,王源,TF家族,王俊凯,十周年演唱会,时代峰峻,李飞,黄锐,娱乐吃瓜大会,TFBOYS十年回顾",0.0352,0.4701,0.3095,0.0,0.1231,,1,2023-08-08 12:07:16,0.2023
30,91678368,【完结合集】《两晋十六国》看懂后三国时代174年的乱世风雨,12105791,安州牧,7481602,2547414,4.75,215.5,56176.3,0.0816,9422,"历史,淝水之战,人文杂谈,知识分享官,知识,谢安,南北朝,十六国",0.0141,0.4475,0.3598,0.0,0.0601,,1,2020-02-26 20:00:56,0.1941
31,634517065,时代少年团2021火力全开演唱会（下）,21132089,TF家族,3670216,9176767,2.3,522.94,40410.3,0.1002,31308,"丁程鑫,TF家族,演唱会,公子,贺峻霖,严浩翔,张真源,时代少年团,时代少年团演唱会,Lil Wen,小丁弟弟,中国大陆,狼崽,大帅,+7,小丁,普通话,程程,宋亚轩,马嘉祺,tnt,Alex,张方方,刘耀文,简亓,二维马,树立,Jiaqi Ma,时代少年团2021火力全开演唱会,Chengxin Ding,小马哥(昵称),马总(昵称),猫捡球(昵称),Yaxuan Song,Zhenyuan Zhang,小铃铛(昵称),Yaowen Liu,霖霖(昵称),宋树立(本名),Junlin He,小贺(昵称)",0.0343,0.2169,0.4418,0.0,0.3758,,1,2021-12-14 17:56:33,0.1905
32,115302792763340,高中生国庆vs大学生国庆！,14734760,一串大福,393709394,3285301,4.49,2074.37,7103.2,0.0289,2456,"搞笑,来福来福,一串大福,国庆,学生时代,真实,fyp,国庆小剧场",0.1362,0.4224,0.1274,0.0,0.152,,1,2025-10-02 13:01:34,0.1871
33,891284092,【时代少年团】《光环中的少年——“踯躅”》,12340815,TF家族,3670216,9176767,1.34,297.28,41512.9,0.1583,43618,"时代少年团,TNT时代少年团",0.0195,0.1266,0.698,0.0,0.0683,,1,2021-10-29 19:20:32,0.1839
34,115558813012734,当周五下午不上课！,13257593,一串大福,393709394,3285301,4.04,2202.96,6018.1,0.0347,1396,"校园,原创,搞笑,搞笑小剧场,来福来福,一串大福,学生时代,周五,fyp",0.1446,0.38,0.153,0.0,0.1003,,1,2025-11-16 18:11:43,0.179
35,114624506631609,省吃俭用学生党belike！,15301482,一串大福,393709394,3285301,4.66,1533.49,9978.2,0.0143,641,"搞笑,来福来福,一串大福,省钱,学生时代,学生党,校园小剧场,fyp,bilibili校园小剧场开演啦",0.1007,0.4386,0.0631,0.0,0.1718,,1,2025-06-04 18:05:01,0.1696
36,114551341195203,优酸乳×时代少年团 嚼柠檬主题曲中文版《Lemon》发布！,11436737,时代少年团,3546630773016865,4377937,2.61,1111.62,10288.3,0.0922,108656,"MV,音乐,时代少年团,LEMON",0.073,0.246,0.4065,0.0,0.0366,,1,2025-05-22 19:57:06,0.1684
37,925639714,【时代少年团】TNT《我想了太多关于你的形容》Cover,26124058,TF家族,3670216,9176767,2.85,481.06,54304.8,0.0394,85248,"贺峻霖,严浩翔,时代少年团,TNT,cover,翻唱",0.0316,0.2681,0.1737,0.0,0.5505,,1,2020-05-14 19:27:02,0.1663
