排名,av_id,标题,播放量,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
79,1955219846,重生了，我在富人区捡垃圾-寻宝笔记,1570196,356406755,10265,152.97,83.23,18864.8,0.0118,12,0.0213,0.0107,0.0655,0.0,0.0103,,1,2024-05-29 22:20:02,0.0232
80,113305330916626,富人的别墅法拉利 穷人的垃圾棚户村 体验韩国巨大贫富差距 极其震撼,1545142,267083972,459130,3.37,99.47,15534.1,0.0131,977,0.0254,0.0002,0.0727,0.0,0.0076,,1,2024-10-15 17:00:00,0.023
81,808362799,待满48小时就能得一套房？富人最怕遇到的小偷，法国职业偷房人,2590855,73884967,30550,84.81,65.5,39556.6,0.0024,42,0.0167,0.0059,0.0133,0.0,0.1182,,1,2022-01-18 18:17:38,0.021
82,335709027,人类历史最有钱的男人：非洲国王曼萨穆萨，坐拥全世界一半黄金！,2386914,1685746281,488288,4.89,56.37,42341.2,0.0055,141,0.0144,0.0003,0.0305,0.0,0.0966,,1,2021-09-24 17:39:54,0.0202
83,69980789,实拍印度首都富人区购物广场，随处可见高种姓美女，颜值真的高,1923105,350605014,133772,14.38,32.24,59654.4,0.0115,1003,0.0082,0.001,0.0638,0.0,0.0476,,1,2019-10-04 08:30:54,0.0202
84,22727792,印度富人区女孩的生活，穿着时尚堪比明星，一般人都娶不到,1748858,297968417,3851,454.13,24.22,72197.1,0.0051,2033,0.0062,0.0317,0.0283,0.0,0.0292,,1,2018-04-29 17:45:28,0.0184
85,386335364,如果你是全球首富但你却不知道，会发生什么（第九集）,1823872,482709661,183551,9.94,52.05,35039.1,0.0082,80,0.0133,0.0007,0.0455,0.0,0.0371,,1,2022-07-25 23:48:58,0.017
86,1053370388,如何判断自己是富人思维还是穷人思维,1650601,407427280,193028,8.55,83.55,19756.1,0.0077,7,0.0214,0.0006,0.0427,0.0,0.0188,,1,2024-04-22 18:45:00,0.017
87,757758285,揭秘迪拜王子的奢华生活，全球男性都羡慕的天敌：哈曼丹,1890275,1685746281,488288,3.87,41.1,45986.9,0.0081,467,0.0105,0.0003,0.045,0.0,0.0441,,1,2021-04-25 19:59:15,0.0166
88,206341438,近期热门韩剧，解密韩国富人提前出狱的套路，难以想象！,2078554,102414403,168938,12.3,46.71,44498.4,0.003,46,0.0119,0.0009,0.0166,0.0,0.064,,1,2021-06-26 20:30:04,0.0135
89,463207532,印度富人的一顿早餐，竟能吃掉穷人半年工资，简直不要太吓人,1664868,1143314414,8354,199.29,39.35,42311.5,0.0032,123,0.0101,0.0139,0.0178,0.0,0.0203,,1,2021-09-25 23:24:29,0.0121
90,229503008,我的世界：小米蕉被富人大壮收养！保姆铁柱偷偷潜入搞破坏！,1591009,3461579293068097,177422,8.97,58.07,27399.7,0.0041,13,0.0148,0.0006,0.0228,0.0,0.0125,,1,2023-06-09 07:24:18,0.0104
91,981422420,迷你世界：只能救一个！明星富人朋友和妈妈，我该救哪一个呢？,1736371,1186115121,259873,6.68,47.06,36893.2,0.0033,54,0.012,0.0005,0.0183,0.0,0.0278,,1,2022-05-09 17:43:51,0.0102
