排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,点赞数,投币数,收藏数,分享数,弹幕数,评论数,标签,深度互动比(币+藏/赞),互动密度,收藏率,粉丝转化率,分享率,深度互动得分,互动密度得分,收藏率得分,转化率得分,分享率得分,视频年龄(小时),发布时间,价值综合评分
48,116962411680078,晚上在店里加班处理金枪鱼，顺便切点边角料偷偷做个晚餐吃,382925,张森的下班料理,472229397,1692447,39610,2354,3369,1503,2419,1187,"深夜美食,蓝鳍金枪鱼,风味美食图鉴",0.1445,0.1278,0.0088,0.2263,0.0039,0.038,0.2469,0.0916,0.0017,0.1125,10.44,2026-07-24 17:10:00,0.1048
49,116969592325637,专访菲尔兹奖获得者邓煜：收到获奖邮件时，正在看小说,637929,环球人物新媒体,30042311,29733,16703,604,4229,3965,627,3859,"邓煜,邓煜获2026年菲尔兹奖,菲尔兹奖",0.2893,0.0408,0.0066,21.4553,0.0062,0.1289,0.0328,0.0568,0.1766,0.1802,29.98,2026-07-23 21:46:54,0.1004
50,116957865057680,连唱了十首最吊奥特曼主题曲！！每首都夯爆了,628974,野生小叔,23957550,422485,30322,1208,7342,547,582,1029,"日语翻唱,奥特曼,翻唱,咿呀！！！",0.282,0.0644,0.0117,1.4887,0.0009,0.1243,0.0908,0.1378,0.0121,0.0222,79.5,2026-07-21 20:06:38,0.0972
51,116963971958456,成吉思鸡200卢比买一送一，我只要送的那份,3281353,印度老吃家,1582757648,599329,229561,6607,36355,6252,1655,2867,"街头小吃,印度,印度美食,美食制作,街头美食,舌尖真探事务所,印度老吃家,成吉思鸡,阿穆尔奶油,探店",0.1871,0.0844,0.0111,5.475,0.0019,0.0648,0.1402,0.1282,0.0449,0.0528,53.46,2026-07-22 22:02:13,0.0931
52,116951842160777,【蓝牙耳机推荐2026】 7月大合集！含音质和降噪测试！百元蓝牙耳机/入耳式蓝牙耳机/降噪蓝牙耳机/手机厂/HIFI厂耳机推荐！全价位各大品牌对比！,3567715,知音剑客,67063436,159466,159298,15077,26146,3778,1919,1869,"耳机,入耳式蓝牙耳机,蓝牙耳机推荐2026,耳机推荐2026,耳机推荐,蓝牙耳机,降噪耳机,降噪蓝牙耳机,百元蓝牙耳机,蓝牙耳机推荐",0.2588,0.0573,0.0073,22.3729,0.0011,0.1097,0.0734,0.0681,0.1842,0.0278,104.84,2026-07-20 18:55:25,0.0916
53,116963116652282,今天花2万包5000斤的鱼塘，塘主的举动让人暖心,2614367,李维刚的日常,3493260093819171,4196040,235112,45210,8903,3698,4115,4545,"正能量,李维刚,顺德,鱼塘",0.2302,0.1139,0.0034,0.6231,0.0014,0.0918,0.2128,0.0051,0.0049,0.0383,57.17,2026-07-22 18:26:11,0.0907
54,116968602607303,见蛇不打三分罪？让我们来看看舟山眼镜蛇怎么说,930630,ZGL蛇语者,1409380252,646424,69763,2921,8957,2148,2123,1410,"蛇,剧毒蛇,户外找蛇,ZGL蛇语者,眼镜蛇,毒蛇,王锦蛇,舟山眼镜蛇,蛇类科普,蛇类行为学",0.1703,0.0915,0.0096,1.4397,0.0023,0.0541,0.1577,0.1049,0.0117,0.0647,33.15,2026-07-23 18:20:50,0.087
55,116968199882273,年度大活！！峰哥cos沙僧，良子cos猪八戒！！！,1639489,卡秃噜皮君,433004026,329226,102428,1818,10461,17802,640,2845,"生活记录,高能,生活,峰哥直播,峰哥,峰哥亡命天涯,随手记录我的生活碎片",0.1199,0.0721,0.0064,4.9798,0.0109,0.0225,0.1098,0.0529,0.0408,0.3174,35.58,2026-07-23 15:54:48,0.0817
56,116968250150984,指鸡为牛、移花接木：营销号看图说话有多离谱？,3837816,中国食品报融媒体,439478093,4467285,176039,5231,37198,2848,1549,2781,"科普,鉴定网络热门视频,辟谣,食品安全,香肠",0.241,0.0581,0.0097,0.8591,0.0007,0.0986,0.0753,0.106,0.0069,0.0185,32.41,2026-07-23 19:05:00,0.0771
57,116968854128961,陪莉莉一起吃饭吧～,1277140,小奶酪酪子,118460438,498147,118711,2535,8043,2126,552,1287,"吃播,巴啦啦小魔仙,cos,麻辣拌,炸鸡,严莉莉",0.0891,0.1027,0.0063,2.5638,0.0017,0.0032,0.1851,0.0515,0.0209,0.0457,32.81,2026-07-23 18:41:04,0.0644
58,116967042324360,刚买的李子丢进水里，直接长出了一层透明壳？？,2459933,毕的二阶导,489763089,2401750,101647,6372,16681,1455,1722,1710,"物理,光学,李子,科普,全反射,水果,折射,疏水,透明壳,万物研究所",0.2268,0.0521,0.0068,1.0242,0.0006,0.0897,0.0606,0.0593,0.0082,0.014,40.58,2026-07-23 11:01:29,0.0606
59,116963502197593,老同学婚礼让我穿最贵的来？,1766178,三个大比兜啊,496116540,112755,123165,1576,8776,1214,790,2634,"婚礼,齐天大圣,cos,黑神话悟空,婚礼现场,同学,灵魂COS大赏",0.084,0.0775,0.005,15.6639,0.0007,0.0,0.1232,0.0302,0.1289,0.0169,40.5,2026-07-23 11:00:00,0.0514
60,116964156511429,成吉思鸡套餐！鸡佬的成吉思鸡套餐，吃了有力气,961643,干饭三健客,8680974,2286445,58510,2743,4493,2107,774,1133,"印度美食,街头美食,我在B站做美食,印度老吃家,三剑客,健身餐",0.1237,0.0704,0.0047,0.4206,0.0022,0.0249,0.1056,0.0255,0.0033,0.0613,34.5,2026-07-23 17:00:00,0.0466
61,116968468318425,上课打游戏 期末考段位？电竞专业真有这么爽吗？,811514,落九川,470962000,2735935,16679,1141,2504,1291,852,1109,"落九川,探访,电竞专业,四川电影电视学院,电竞本科,川影",0.2185,0.0275,0.0031,0.2966,0.0016,0.0845,0.0,0.0,0.0022,0.0435,33.61,2026-07-23 18:00:00,0.0341
62,116967159629281,当你穿进老钱班30,3287653,侯绿萝,503058735,2503136,200675,4852,13487,2425,3134,1217,"娱乐,段子,小剧场",0.0914,0.0679,0.0041,1.3134,0.0007,0.0046,0.0996,0.0163,0.0106,0.0183,40.06,2026-07-23 11:32:31,0.0327
